PM10,PM2.5
49,17
63,31
48,25
55,29
67,34
62,31
65,27
93,31
93,37
58,26
43,19
52,16
30,11
45,13
43,15
40,16
52,27
57,29
63,27
47,27
18,11
113,26
108,17
76,17
36,12
75,33
94,41
75,35
72,32
68,32
41,22
33,18
25,11
14,8
22,14
58,34
32,6
49,9
43,10
39,12
259,31
124,24
62,21
34,17
91,24
85,26
69,24
52,26
47,22
199,29
285,42
78,16
31,10
26,14
36,17
33,16
32,13
32,15
38,10
43,15
36,17
36,18
28,15
6,4
7,4
28,20
28,17
36,25
37,15
38,17
33,14
33,17
30,17
43,25
66,38
57,27
36,22
18,7
27,13
48,18
130,31
79,22
46,16
33,14
29,12
33,15
18,8
8,3
14,4
25,9
34,15
35,13
35,14
27,11
30,13
26,13
37,18
32,16
28,14
40,22
27,15
23,11
30,14
29,15
25,11
31,17
36,21
38,20
39,16
29,8
24,10
28,15
25,14
24,11
26,13
15,7
18,9
15,9
30,19
15,7
24,13
36,23
40,25
21,12
22,8
50,21
37,18
32,14
40,24
40,25
26,16
22,11
33,18
13,5
13,6
17,8
11,3
8,3
14,5
39,24
46,32
17,9
11,5
11,4
16,7
20,11
30,17
39,25
34,23
33,23
33,21
30,17
24,13
24,14
25,13
22,14
17,10
14,5
14,3
10,4
5,1
19,8
26,14
32,18
23,12
17,7
30,15
23,11
12,6
23,16
22,13
27,18
30,22
22,14
9,5
13,5
24,13
20,11
18,8
16,8
10,4
12,5
23,12
21,13
17,8
13,5
15,5
16,7
17,8
15,6
14,5
14,6
19,10
29,16
25,15
8,3
8,3
16,9
11,5
16,6
26,14
32,19
8,3
16,5
15,4
12,4
16,3
14,7
17,9
24,12
44,29
23,14
25,8
15,6
21,11
25,14
28,6
22,8
19,8
13,4
16,6
18,11
21,9
21,10
28,15
30,18
21,14
34,15
26,8
29,13
34,18
15,4
18,5
18,8
31,14
35,19
37,22
51,31
38,22
26,13
25,13
35,19
48,26
31,19
48,30
39,22
37,20
63,38
70,39
72,45
64,40
91,63
114,83
31,19
28,17
35,14
35,16
62,36
36,20
23,12
34,18
47,32
53,37
65,42
65,43
79,57
53,38
27,18
66,46
55,35
33,19
28,17
38,24
33,22
17,8
28,16
28,15
38,21
42,24
61,41
60,19
76,24
62,25
72,34
37,18
8,4
17,9
22,14
7,6
9,5
8,7
9,8
16,11
28,22
12,9
14,10
16,11
25,18
33,24
42,29
55,36
63,45
70,54
80,63
48,39
37,26
26,12
31,18
42,25
73,52
112,84
125,78
87,27
75,29
67,31
76,40
78,38
37,25
14,10
11,8
27,16
35,18
52,22
63,24
79,19
26,12
28,16
50,29
31,9
25,11
33,18
39,18
30,16
42,16
43,15
42,20
51,26
47,17
46,21
46,29
60,42
84,56
100,73
101,71
51,32
26,22
51,38
62,43
49,31
53,35
23,13
32,21
50,34
63,47
42,25
91,67
35,24
44,31
50,39
70,55
35,21
32,22
47,33
55,35
37,26
48,13
44,18
63,40
72,53
75,42
85,42
69,33
68,36
94,55
96,48
65,24
44,13
50,19
47,23
68,13
53,15
56,23
69,28
78,35
66,24
56,27
98,49
158,27
75,14
54,16
41,18
96,34
78,29
66,25
77,36
74,37
45,28
54,37
24,13
22,14
79,62
85,47
39,8
66,13
47,13
48,18
238,27
168,24
68,17
52,19
100,26
87,23
58,20
35,20
34,18
66,19
216,26
138,22
42,14
26,13
32,18
29,17
36,19
41,13
42,12
48,18
35,16
39,20
28,16
4,9
11,3
30,20
38,22
45,26
51,29
44,26
42,23
34,22
27,19
39,21
50,25
49,21
32,19
16,10
26,17
42,13
155,26
57,18
51,20
42,16
32,15
33,21
14,10
10,5
20,8
23,8
32,19
34,20
31,12
26,15
30,16
25,16
30,21
27,15
28,14
28,20
22,16
30,19
33,20
28,18
34,21
32,20
32,21
30,19
40,27
24,12
20,15
25,15
25,18
26,21
25,16
8,10
22,14
23,13
23,16
13,8
24,11
27,22
35,24
18,14
29,14
43,16
27,13
11,12
23,19
24,15
18,13
26,19
22,15
8,6
13,6
19,10
13,8
9,4
22,11
46,34
49,35
22,15
11,10
15,8
17,8
17,8
18,11
26,18
34,24
29,25
29,20
44,25
30,20
31,21
30,21
17,15
13,9
16,8
15,6
9,2
23,14
22,16
29,20
37,22
39,22
21,24
22,12
20,14
15,12
23,18
18,12
20,15
15,12
13,8
25,8
33,20
29,23
17,12
16,11
15,8
23,12
35,17
25,19
9,9
19,11
19,11
14,8
18,8
15,8
23,16
21,16
32,20
26,19
21,14
7,4
7,6
9,6
10,6
15,7
27,13
27,17
14,4
24,10
19,10
10,4
11,7
7,6
13,6
30,18
42,23
16,9
23,6
19,9
19,10
22,12
39,6
28,11
23,14
9,5
14,6
28,12
28,13
30,14
33,16
31,20
20,11
38,14
31,10
33,14
28,17
23,5
19,6
22,9
34,14
33,17
38,22
48,31
54,22
45,22
32,19
47,24
51,26
41,25
40,18
34,20
24,15
17,13
32,7
26,7
28,12
36,20
23,9
22,12
20,14
24,11
28,13
54,29
50,31
15,9
21,10
36,16
43,17
49,19
51,23
71,29
21,6
18,10
22,15
28,15
35,16
28,14
20,7
26,12
33,19
34,18
55,27
67,34
96,56
69,12
88,22
60,23
49,27
19,8
11,5
14,7
9,5
7,7
20,5
17,8
13,8
32,20
31,15
17,9
21,10
20,14
21,17
28,21
33,22
41,25
47,32
60,41
69,47
31,23
53,36
6,6
12,9
21,15
76,48
80,53
112,57
53,25
91,33
38,17
33,14
41,18
34,10
34,14
14,6
16,13
17,12
46,27
47,23
74,23
7,6
18,10
28,14
29,15
6,7
27,11
32,14
15,11
33,12
33,14
21,11
46,17
35,20
38,20
34,21
35,24
37,24
48,23
58,31
38,24
7,6
37,23
45,27
35,16
23,13
65,39
37,23
25,13
25,14
20,12
23,21
49,34
27,9
44,11
43,10
23,10
205,41
89,22
52,20
14,9
52,24
90,32
63,24
45,24
37,22
183,39
246,48
54,16
31,13
20,12
31,20
30,16
26,14
23,12
34,15
65,39
37,23
25,13
25,14
20,12
23,21
49,34
27,9
44,11
43,10
23,10
205,41
89,22
52,20
14,9
52,24
90,32
63,24
45,24
37,22
183,39
246,48
54,16
31,13
20,12
31,20
30,16
26,14
23,12
34,15
49,22
35,21
31,17
22,14
37,13
10,6
27,21
23,16
30,24
41,26
33,19
29,13
17,11
25,19
43,31
53,37
32,20
31,22
12,9
20,12
31,19
107,34
90,27
30,15
17,8
23,15
26,13
20,11
9,5
12,7
18,8
22,16
21,13
37,24
24,14
27,16
18,12
28,17
20,13
26,18
26,19
18,13
22,15
20,14
28,18
29,20
34,24
24,16
28,21
36,23
20,7
16,8
25,14
19,9
13,6
10,5
13,4
12,5
11,6
20,8
13,6
26,17
24,16
23,15
16,9
16,10
35,19
24,16
15,10
30,17
29,22
17,12
14,5
18,7
14,4
16,5
11,6
3,2
11,6
14,8
24,15
16,9
14,7
15,8
13,4
11,5
24,18
28,21
34,28
30,20
22,17
17,9
12,7
23,13
19,12
17,10
14,8
9,5
15,9
13,7
9,6
12,5
17,8
21,11
21,13
17,11
18,11
22,10
19,11
12,8
17,12
20,14
20,13
24,18
19,11
15,5
17,9
23,15
20,13
14,9
17,7
16,8
15,9
10,5
10,6
14,7
14,7
14,7
17,10
19,9
14,5
11,5
10,6
14,8
19,12
18,12
11,7
11,7
12,7
8,4
12,5
19,11
30,19
14,6
15,6
12,6
17,6
19,7
20,11
16,10
12,8
35,23
20,15
25,12
15,8
14,8
14,8
21,9
29,13
17,9
12,6
12,6
16,10
20,9
16,9
16,10
19,13
19,14
27,17
30,15
23,13
17,10
14,7
15,7
14,7
25,14
24,16
24,17
32,22
38,24
22,13
19,10
25,16
35,22
29,18
25,15
23,14
24,16
26,18
22,9
23,11
14,8
19,12
15,9
18,11
13,9
14,10
17,12
29,20
27,23
15,10
14,10
23,13
37,22
25,18
16,11
41,24
19,9
14,8
17,11
24,17
31,16
26,17
15,10
16,11
20,13
35,27
30,21
31,23
42,32
48,22
68,22
49,19
59,30
28,15
8,4
12,6
10,6
9,6
7,5
11,8
10,7
14,9
23,17
13,10
15,11
12,8
17,16
29,24
28,23
30,21
43,34
53,47
51,46
29,26
52,39
23,13
32,20
32,23
46,35
75,62
117,92
128,64
88,41
58,34
67,45
58,43
21,11
10,5
14,10
23,15
32,19
48,24
58,27
58,17
25,12
27,13
53,31
28,11
26,10
35,21
38,21
37,14
43,16
39,16
37,17
63,37
41,17
37,19
39,27
66,51
77,61
71,54
68,51
33,22
22,17
42,33
65,54
29,20
33,24
17,10
28,18
47,36
82,65
47,35
34,9
29,16
39,27
40,26
47,29
35,19
35,22
45,32
38,26
33,19
45,10
38,17
70,44
77,54
50,33
62,34
62,31
69,45
89,53
92,51
52,25
29,8
36,9
43,11
50,10
38,14
53,27
88,59
85,62
59,37
55,31
85,24
131,23
92,22
56,15
43,20
62,28
69,34
69,34
87,44
75,45
39,28
42,32
49,26
19,11
58,50
74,49
34,8
53,17
42,19
60,20
241,31
173,27
86,20
55,19
101,30
96,30
41,16
32,16
27,13
50,14
49,11
47,14
45,15
30,15
26,13
36,21
35,18
27,12
36,13
41,17
28,13
36,17
40,22
13,5
15,9
30,26
33,24
47,31
50,30
45,27
51,32
37,23
22,14
34,21
53,33
33,16
34,19
20,12
22,14
75,21
115,28
56,14
38,18
33,14
30,14
27,16
10,4
12,6
35,17
31,14
34,21
30,17
32,16
35,19
28,16
20,12
34,21
21,13
21,12
32,21
21,13
30,19
25,16
29,18
26,18
26,18
21,15
26,18
46,33
35,23
12,5
17,8
27,17
34,25
33,26
17,11
36,12
35,21
33,22
35,25
29,20
21,15
38,24
34,25
25,16
44,28
39,22
13,7
19,9
31,19
18,10
25,16
24,16
18,11
23,15
32,19
29,16
13,6
29,17
57,44
65,52
30,22
11,5
24,16
19,11
13,6
22,13
34,25
32,25
17,11
30,24
28,22
36,27
24,17
22,15
22,14
23,16
11,5
8,3
8,3
6,2
18,11
19,11
29,19
41,29
25,16
17,10
27,19
35,27
34,24
30,21
27,19
21,15
12,6
7,2
18,8
40,27
29,20
15,8
15,8
20,10
24,13
27,14
27,17
20,12
19,10
19,9
19,10
18,10
18,9
29,17
36,25
34,23
29,19
21,14
10,3
10,4
11,5
16,10
20,13
30,19
23,15
11,4
18,9
17,9
11,4
10,3
6,2
10,4
48,31
36,21
27,13
26,10
17,8
18,10
21,12
31,7
20,9
18,9
10,4
12,6
18,9
23,14
25,16
31,20
28,19
24,16
43,20
34,15
30,17
27,17
20,7
17,7
23,11
29,16
31,19
34,21
44,30
22,13
35,18
27,17
41,23
46,30
40,24
34,20
29,16
35,16
13,9
17,9
17,8
19,11
25,16
16,10
18,12
19,12
22,14
22,15
37,28
42,35
17,11
21,15
36,25
26,18
31,22
40,30
78,48
14,8
18,10
23,17
36,26
27,19
16,10
14,7
20,11
29,19
32,23
34,26
33,24
55,43
51,17
62,21
61,32
60,33
4,2
6,2
10,5
7,4
4,1
15,9
12,7
13,7
22,15
37,26
18,12
18,11
25,18
32,27
41,34
43,34
59,47
48,39
38,31
35,29
20,16
42,28
22,8
29,14
34,19
66,49
116,85
134,75
96,28
72,27
59,28
62,36
62,40
33,16
18,10
18,8
25,11
31,16
52,22
57,22
72,14
29,10
34,15
56,27
34,8
23,7
31,19
32,14
33,13
48,16
41,11
39,13
46,17
46,14
40,15
45,27
65,48
83,58
107,74
86,63
50,31
29,20
55,40
72,52
52,36
51,28
28,14
29,19
50,33
83,57
41,28
34,8
35,14
36,19
45,24
58,35
35,13
35,15
48,26
42,29
39,20
50,8
45,14
58,29
71,43
56,31
61,29
59,25
57,23
96,51
94,39
65,18
40,7
45,10
45,9
67,10
60,15
58,23
76,43
73,47
63,23
64,35
127,30
187,24
79,11
57,12
44,15
83,32
76,33
57,21
71,30
81,34
43,20
46,24
27,6
22,9
71,54
80,53
46,6
63,12
42,9
43,12
306,32
195,19
73,11
64,13
101,19
88,19
51,9
41,13
33,13
61,21
247,26
144,19
50,12
27,12
30,14
30,15
36,11
36,15
48,13
47,16
32,13
38,14
33,13
12,2
7,6
33,25
34,23
37,23
46,26
45,25
38,24
33,17
26,13
38,20
50,26
43,15
31,13
20,9
25,13
55,14
152,26
66,20
52,21
40,15
32,11
38,14
18,7
11,4
16,8
22,10
38,18
36,17
32,16
31,12
27,11
25,12
28,12
23,11
27,11
32,15
28,15
30,16
29,15
28,17
31,17
32,20
35,19
34,19
42,22
25,9
19,7
23,12
28,15
35,21
25,15
12,2
17,9
20,6
28,11
12,5
31,14
31,17
38,21
20,9
23,12
38,14
29,9
12,4
27,12
22,12
17,5
22,9
22,8
7,2
10,4
19,7
11,4
7,3
22,12
52,29
51,34
23,12
11,3
12,4
14,4
16,4
17,4
24,13
34,22
47,23
34,23
42,30
26,15
26,15
29,18
22,11
13,6
12,6
12,5
4,2
22,9
24,11
31,17
36,23
35,19
32,18
20,10
22,13
22,12
25,15
17,8
19,9
12,5
9,3
21,10
34,18
31,17
